Issue ID,First Observed,Last Observed,CVE,Vulnerability,Domain,Certificate Common Name,Ip address,Ip addresses,Hostname,Port,Email,Product name,Product version,IP Address,Port,CVE Publish Date,Last Observed,Banner,Data,Source,Url,Explanation,Vulnerability description,Last Observed,Decay Reason,Observation Details,Observation Count,Average Findings (similar companies),Issue Incidence
cddd9925-7b80-5dd6-98bb-fbb57abc5efc,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2023-38709,,,,,,80,,,,146.190.102.247,80,2024-04-04,2026-02-13T16:07:30,,,,,,"Faulty input validation in the core of Apache allows malicious or exploitable backend/content generators to split HTTP responses.

This issue affects Apache HTTP Server: through 2.4.58.",,,,0,,0
d9e48fc3-a6f8-5895-9c4a-7f379c22bd25,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2024-38477,,,,,,443,,,,146.190.102.247,443,2024-07-01,2026-02-13T16:07:30,,,,,,"null pointer dereference in mod_proxy in Apache HTTP Server 2.4.59 and earlier allows an attacker to crash the server via a malicious request.
Users are recommended to upgrade to version 2.4.60, which fixes this issue.",,,,0,,0
60578e86-6f67-5f8d-9d3f-09d565bb3bca,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2006-20001,,,,,,443,,,,146.190.102.247,443,2023-01-17,2026-02-13T16:07:30,,,,,,"A carefully crafted If: request header can cause a memory read, or write of a single zero byte, in a pool (heap) memory location beyond the header value sent. This could cause the process to crash.

This issue affects Apache HTTP Server 2.4.54 and earlier.",,,,0,,0
dabe981b-3382-55e8-9e7a-9d33f7007fd5,2025-07-15T13:01:23,2026-02-13T16:07:30,,CVE-2025-49812,,,,,,80,,,,146.190.102.247,80,2025-07-10,2026-02-13T16:07:30,,,,,,"In some mod_ssl configurations on Apache HTTP Server versions through to 2.4.63, an HTTP desynchronisation attack allows a man-in-the-middle attacker to hijack an HTTP session via a TLS upgrade.

Only configurations using ""SSLEngine optional"" to enable TLS upgrades are affected. Users are recommended to upgrade to version 2.4.64, which removes support for TLS upgrade.",,,,0,,0
d68c1aca-e742-5d4d-9ed6-49e6d252d919,2025-12-11T18:11:50,2026-02-13T16:07:30,,CVE-2025-59775,,,,,,80,,,,146.190.102.247,80,2025-12-05,2026-02-13T16:07:30,,,,,,"Server-Side Request Forgery (SSRF) vulnerability 

\xC2\xA0in Apache HTTP Server on Windows 

with AllowEncodedSlashes On\xC2\xA0and MergeSlashes Off\xC2\xA0 allows to potentially leak NTLM 
hashes to a malicious server via SSRF and malicious requests or content

Users are recommended to upgrade to version 2.4.66, which fixes the issue.",,,,0,,0
bb01ccb8-9c49-5a9f-9fad-104fd1abc1d9,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2024-38477,,,,,,80,,,,146.190.102.247,80,2024-07-01,2026-02-13T16:07:30,,,,,,"null pointer dereference in mod_proxy in Apache HTTP Server 2.4.59 and earlier allows an attacker to crash the server via a malicious request.
Users are recommended to upgrade to version 2.4.60, which fixes this issue.",,,,0,,0
06c8ab94-5e21-5db5-a15d-eef98cc19e27,2025-07-15T13:01:23,2026-02-13T16:07:30,,CVE-2024-47252,,,,,,443,,,,146.190.102.247,443,2025-07-10,2026-02-13T16:07:30,,,,,,"Insufficient escaping of user-supplied data in mod_ssl in Apache HTTP Server 2.4.63 and earlier allows an untrusted SSL/TLS client to insert escape characters into log files in some configurations.

In a logging configuration where CustomLog is used with ""%{varname}x"" or ""%{varname}c"" to log variables provided by mod_ssl such as SSL_TLS_SNI, no escaping is performed by either mod_log_config or mod_ssl and unsanitized data provided by the client may appear in log files.",,,,0,,0
ef107846-f006-5b82-a9bd-a8992ba125d4,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2024-38472,,,,,,80,,,,146.190.102.247,80,2024-07-01,2026-02-13T16:07:30,,,,,,"SSRF in Apache HTTP Server on Windows allows to potentially leak NTLM hashes to a malicious server via SSRF and\xC2\xA0malicious requests or content 
Users are recommended to upgrade to version 2.4.60 which fixes this issue.\xC2\xA0 Note: Existing configurations that access UNC paths will have to configure new directive ""UNCList"" to allow access during request processing.",,,,0,,0
d0ae384a-720f-53d4-aa01-5d57b98d8dfc,2025-05-05T22:40:30,2026-02-13T16:07:30,,CVE-2022-26377,,,,,,80,,,,146.190.102.247,80,2022-06-09,2026-02-13T16:07:30,,,,,,Inconsistent Interpretation of HTTP Requests ('HTTP Request Smuggling') vulnerability in mod_proxy_ajp of Apache HTTP Server allows an attacker to smuggle requests to the AJP server it forwards requests to. This issue affects Apache HTTP Server Apache HTTP Server 2.4 version 2.4.53 and prior versions.,,,,0,,0
e3121719-e0fb-539a-aa8f-9d0019409132,2025-07-17T00:31:09,2026-02-13T16:07:30,,CVE-2024-43394,,,,,,80,,,,146.190.102.247,80,2025-07-10,2026-02-13T16:07:30,,,,,,"Server-Side Request Forgery (SSRF)\xC2\xA0in Apache HTTP Server on Windows allows to potentially leak NTLM hashes to a malicious server via\xC2\xA0
mod_rewrite or apache expressions that pass unvalidated request input.

This issue affects Apache HTTP Server: from 2.4.0 through 2.4.63.

Note: \xC2\xA0The Apache HTTP Server Project will be setting a higher bar for accepting vulnerability reports regarding SSRF via UNC paths. 

The server offers limited protection against administrators directing the server to open UNC paths.
Windows servers should limit the hosts they will connect over via SMB based on the nature of NTLM authentication.",,,,0,,0
